"Date","Close","Open","High","Low","Volume","Change"
"2023-6-22","86.89","86.78","87.32","85.32","10.22M","0.14%"
"2023-6-21","86.77","87.38","89.16","86.62","15.06M","-1.32%"
"2023-6-20","87.93","89.83","90.20","87.32","23.17M","-4.53%"
"2023-6-16","92.10","94.00","94.29","91.52","25.09M","-0.11%"
"2023-6-15","92.20","91.46","92.77","90.60","26.47M","3.18%"
"2023-6-14","89.36","87.97","90.12","87.71","21.52M","2.11%"
"2023-6-13","87.51","87.96","89.22","87.25","16.70M","1.92%"
"2023-6-12","85.86","86.01","87.29","85.63","11.54M","0.42%"
"2023-6-9","85.50","86.06","86.84","85.07","12.90M","-0.74%"
"2023-6-8","86.14","85.17","86.95","85.17","11.21M","1.01%"
"2023-6-7","85.28","85.72","86.95","85.09","12.89M","-1.64%"
"2023-6-6","86.70","83.50","87.06","83.37","17.61M","2.73%"
"2023-6-5","84.40","83.99","84.57","83.24","8.15M","0.15%"
"2023-6-2","84.27","85.08","86.03","84.14","17.62M","1.53%"
"2023-6-1","83.00","79.35","84.00","79.35","23.13M","4.34%"
"2023-5-31","79.55","79.58","79.67","77.77","16.14M","1.12%"
"2023-5-30","78.67","80.12","80.70","78.17","21.11M","-2.84%"
"2023-5-26","80.97","79.90","81.57","78.40","16.42M","2.78%"
"2023-5-25","78.78","80.59","80.71","78.12","21.32M","-2.99%"
"2023-5-24","81.21","82.17","82.60","80.88","15.44M","-2.01%"
"2023-5-23","82.88","84.16","84.97","82.70","18.26M","-3.74%"
"2023-5-22","86.10","85.67","87.48","85.65","15.11M","2.52%"
"2023-5-19","83.98","83.85","85.20","83.48","21.57M","-2.09%"
"2023-5-18","85.77","90.81","91.00","85.00","58.03M","-5.41%"
"2023-5-17","90.68","88.46","91.43","88.01","26.85M","2.16%"
"2023-5-16","88.76","87.11","89.37","87.06","17.54M","0.48%"
"2023-5-15","88.34","87.13","88.40","85.83","21.26M","3.52%"
"2023-5-12","85.34","86.71","86.71","84.76","19.04M","-2.90%"
"2023-5-11","87.89","85.43","88.48","84.82","28.03M","5.96%"
"2023-5-10","82.95","82.14","84.50","81.77","16.76M","0.89%"
"2023-5-9","82.22","80.54","82.66","80.15","13.41M","-1.31%"
"2023-5-8","83.31","83.63","83.70","82.34","15.69M","0.11%"
"2023-5-5","83.22","82.75","83.38","82.03","17.53M","0.88%"
"2023-5-4","82.49","82.39","83.13","81.80","20.22M","1.24%"
"2023-5-3","81.48","81.31","82.00","80.49","15.65M","-0.06%"
"2023-5-2","81.53","83.15","83.28","80.65","19.53M","-3.13%"
"2023-5-1","84.16","84.15","85.28","83.77","11.22M","-0.63%"
"2023-4-28","84.69","84.18","85.08","83.87","18.11M","0.26%"
"2023-4-27","84.47","83.07","84.64","82.64","20.93M","1.99%"
"2023-4-26","82.82","85.04","85.22","82.76","24.98M","-0.12%"
"2023-4-25","82.92","85.32","85.70","82.21","34.25M","-4.57%"
"2023-4-24","86.89","88.40","88.48","86.04","22.71M","-2.51%"
"2023-4-21","89.13","89.96","90.19","88.30","23.10M","-1.77%"
"2023-4-20","90.74","93.35","93.79","90.05","23.34M","-2.94%"
"2023-4-19","93.49","94.60","94.82","92.95","16.78M","-2.09%"
"2023-4-18","95.49","99.02","99.17","95.18","18.78M","-0.96%"
"2023-4-17","96.42","96.74","97.23","95.49","15.71M","1.98%"
"2023-4-14","94.55","95.63","96.12","93.84","14.10M","-1.68%"
"2023-4-13","96.17","95.88","97.19","95.10","23.22M","2.48%"
"2023-4-12","93.84","97.82","98.89","93.58","33.81M","-5.93%"
"2023-4-11","99.76","102.46","102.54","99.20","18.10M","-1.75%"
"2023-4-10","101.54","100.62","102.83","100.59","16.26M","-1.17%"
"2023-4-6","102.74","98.53","103.24","98.27","26.85M","4.25%"
"2023-4-5","98.55","99.24","100.45","97.66","19.57M","-2.15%"
