"Date","Close","Open","High","Low","Volume","Change"
"2023-5-12","167.98","176.07","177.38","167.23","157.85M","-2.38%"
"2023-5-11","172.08","168.70","173.57","166.79","103.89M","2.10%"
"2023-5-10","168.54","172.55","174.43","166.68","119.84M","-0.36%"
"2023-5-9","169.15","168.95","169.82","166.56","88.97M","-1.54%"
"2023-5-8","171.79","173.72","173.80","169.19","112.25M","1.02%"
"2023-5-5","170.06","163.97","170.79","163.51","107.61M","5.50%"
"2023-5-4","161.20","162.71","162.95","159.65","95.11M","0.37%"
"2023-5-3","160.61","160.01","165.00","159.91","119.73M","0.19%"
"2023-5-2","160.31","161.88","165.49","158.93","128.26M","-0.94%"
"2023-5-1","161.83","163.17","163.28","158.83","109.02M","-1.51%"
"2023-4-28","164.31","160.90","165.00","157.32","122.52M","2.57%"
"2023-4-27","160.19","152.64","160.48","152.37","127.02M","4.19%"
"2023-4-26","153.75","160.29","160.67","153.14","153.36M","-4.31%"
"2023-4-25","160.67","159.82","163.47","158.75","122.00M","-1.16%"
"2023-4-24","162.55","164.65","165.65","158.61","140.01M","-1.53%"
"2023-4-21","165.08","164.80","166.00","161.32","123.54M","1.28%"
"2023-4-20","162.99","166.16","169.70","160.56","210.97M","-9.75%"
"2023-4-19","180.59","179.10","183.50","177.65","125.73M","-2.02%"
"2023-4-18","184.31","187.15","187.69","183.58","92.07M","-1.46%"
"2023-4-17","187.04","186.32","189.69","182.69","116.66M","1.10%"
"2023-4-14","185.00","183.95","186.28","182.01","96.44M","-0.48%"
"2023-4-13","185.90","182.96","186.50","180.94","112.93M","2.97%"
"2023-4-12","180.54","190.74","191.58","180.31","150.26M","-3.35%"
"2023-4-11","186.79","186.69","189.19","185.65","115.77M","1.24%"
"2023-4-10","184.51","179.94","185.10","176.11","142.15M","-0.30%"
"2023-4-6","185.06","183.08","186.39","179.74","123.86M","-0.25%"
"2023-4-5","185.52","190.51","190.68","183.76","133.88M","-3.67%"
"2023-4-4","192.58","197.32","198.74","190.32","126.46M","-1.12%"
"2023-4-3","194.77","199.91","202.69","192.20","169.55M","-6.12%"
"2023-3-31","207.46","197.53","207.79","197.20","170.22M","6.24%"
"2023-3-30","195.28","195.58","197.33","194.42","110.25M","0.72%"
"2023-3-29","193.88","193.13","195.29","189.44","123.66M","2.48%"
"2023-3-28","189.19","192.00","192.35","185.43","98.65M","-1.37%"
"2023-3-27","191.81","194.41","197.39","189.94","120.85M","0.74%"
"2023-3-24","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"2023-3-23","192.22","195.26","199.31","188.65","144.19M","0.56%"
"2023-3-22","191.15","199.30","200.66","190.95","150.38M","-3.25%"
"2023-3-21","197.58","188.28","198.00","188.04","153.39M","7.82%"
"2023-3-20","183.25","178.08","186.44","176.35","129.68M","1.73%"
"2023-3-17","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"2023-3-16","184.13","180.37","185.81","178.84","121.37M","2.04%"
"2023-3-15","180.45","180.80","182.34","176.03","146.00M","-1.53%"
"2023-3-14","183.26","177.31","183.80","177.14","143.72M","5.03%"
"2023-3-13","174.48","167.46","177.35","163.91","167.79M","0.60%"
"2023-3-10","173.44","175.13","178.29","168.44","191.49M","0.30%"
"2023-3-9","172.92","180.25","185.18","172.51","170.02M","-4.99%"
"2023-3-8","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"2023-3-7","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"2023-3-6","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"2023-3-3","197.79","194.79","200.48","192.88","154.19M","3.61%"
"2023-3-2","190.90","186.74","193.75","186.01","181.98M","-5.85%"
"2023-3-1","202.77","206.21","207.20","198.52","156.85M","-1.43%"
"2023-2-28","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"2023-2-27","207.63","202.03","209.42","201.26","161.03M","5.46%"
"2023-2-24","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"2023-2-23","202.07","203.91","205.14","196.33","146.36M","0.60%"
"2023-2-22","200.86","197.93","201.99","191.78","191.83M","1.77%"
"2023-2-21","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"2023-2-17","208.31","199.99","208.44","197.50","213.74M","3.10%"
"2023-2-16","202.04","210.78","217.65","201.84","229.59M","-5.69%"
"2023-2-15","214.24","211.75","214.66","206.11","182.11M","2.38%"
"2023-2-14","209.25","191.94","209.82","189.44","216.46M","7.51%"
"2023-2-13","194.64","194.41","196.30","187.61","172.48M","-1.14%"
"2023-2-10","196.89","202.22","206.20","192.89","204.75M","-5.03%"
"2023-2-9","207.32","207.78","214.00","204.77","215.43M","3.00%"
"2023-2-8","201.29","196.10","203.00","194.31","180.67M","2.28%"
"2023-2-7","196.81","196.43","197.50","189.55","186.01M","1.05%"
"2023-2-6","194.76","193.01","198.17","189.92","186.19M","2.52%"
"2023-2-3","189.98","183.95","199.00","183.69","232.66M","0.91%"
"2023-2-2","188.27","187.32","196.75","182.61","217.45M","3.78%"
"2023-2-1","181.41","173.89","183.81","169.93","213.81M","4.73%"
"2023-1-31","173.22","164.57","174.30","162.78","196.81M","3.94%"
"2023-1-30","166.66","178.05","179.77","166.50","230.88M","-6.32%"
"2023-1-27","177.90","162.43","180.68","161.17","306.59M","11.00%"
"2023-1-26","160.27","159.97","161.42","154.76","234.82M","10.97%"
"2023-1-25","144.43","141.91","146.41","138.07","192.73M","0.38%"
"2023-1-24","143.89","143.00","146.50","141.10","158.70M","0.10%"
"2023-1-23","143.75","135.87","145.38","134.27","203.12M","7.74%"
"2023-1-20","133.42","128.68","133.51","127.35","138.86M","4.91%"
"2023-1-19","127.17","127.26","129.99","124.31","170.29M","-1.25%"
"2023-1-18","128.78","136.56","136.68","127.01","195.68M","-2.06%"
"2023-1-17","131.49","125.69","131.70","125.02","186.48M","7.43%"
"2023-1-13","122.40","116.55","122.63","115.60","180.71M","-0.94%"
"2023-1-12","123.56","122.56","124.13","117.00","169.40M","0.28%"
"2023-1-11","123.22","122.09","125.95","120.51","183.81M","3.68%"
"2023-1-10","118.85","121.07","122.76","114.92","167.64M","-0.77%"
"2023-1-9","119.77","118.96","123.52","117.11","190.28M","5.93%"
"2023-1-6","113.06","103.00","114.39","101.81","220.91M","2.47%"
"2023-1-5","110.34","110.51","111.75","107.16","157.99M","-2.90%"
"2023-1-4","113.64","109.11","114.59","107.52","180.39M","5.12%"
"2023-1-3","108.10","118.47","118.80","104.64","231.40M","-12.24%"
